Product Name,Metal,Color,Price,Gross Weight,Net Weight,Diamond Weight,Total Diamond Count,Shape,Image 1,Image 2,Image 3,Image 4,Image 5,Category
Ada Diamond Solitaire Ring,14KT,Rose Gold,"₹ 43,408",2.251 Grams,2.13 Grams,0.60 Ct.,19,Round,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_R1.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_R2.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_R3.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_R4.jpg,,Rings
Ada Diamond Solitaire Ring,18KT,Rose Gold,"₹ 49,971",2.621 Grams,2.5 Grams,0.60 Ct.,19,Round,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_R1.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_R2.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_R3.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_R4.jpg,,Rings
Ada Diamond Solitaire Ring,14KT,White Gold,"₹ 43,408",2.251 Grams,2.13 Grams,0.60 Ct.,19,Round,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_W1.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_W2.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_W3.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_W4.jpg,,Rings
Ada Diamond Solitaire Ring,18KT,White Gold,"₹ 49,971",2.621 Grams,2.5 Grams,0.60 Ct.,19,Round,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_W1.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_W2.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_W3.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_W4.jpg,,Rings
Ada Diamond Solitaire Ring,14KT,Yellow Gold,"₹ 43,408",2.251 Grams,2.13 Grams,0.60 Ct.,19,Round,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_Y1.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_Y2.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_Y3.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_Y4.jpg,,Rings
Ada Diamond Solitaire Ring,18KT,Yellow Gold,"₹ 49,971",2.621 Grams,2.5 Grams,0.60 Ct.,19,Round,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_Y1.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_Y2.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_Y3.jpg,https://limelightdiamonds.com/cdn/shop/files/CZ-K-RG-19164_Y4.jpg,,Rings
Adele Diamond Earrings,14KT,Rose Gold,"₹ 25,967",1.932 Grams,1.87 Grams,0.31 Ct.,46,Round,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_R1.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_R2.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_R3.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_R4.jpg,,Earrings
Adele Diamond Earrings,18KT,Rose Gold,"₹ 31,769",2.262 Grams,2.2 Grams,0.31 Ct.,46,Round,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_R1.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_R2.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_R3.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_R4.jpg,,Earrings
Adele Diamond Earrings,14KT,White Gold,"₹ 25,967",1.932 Grams,1.87 Grams,0.31 Ct.,46,Round,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_W1.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_W2.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_W3.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_W4.jpg,,Earrings
Adele Diamond Earrings,18KT,White Gold,"₹ 31,769",2.262 Grams,2.2 Grams,0.31 Ct.,46,Round,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_W1.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_W2.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_W3.jpg,https://limelightdiamonds.com/cdn/shop/files/RK-RBT-28_W4.jpg,,Earrings
